AOA,Beta,d_e,d_a,d_r,p,q,r,Cx_s,Cy_s,Cz_s,Cl_s,Cm_s,Cn_s
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00, 0.0000000000000000e+00,-3.9250000000000002e-01,-5.6649841264203625e-03,-3.8731746113521153e-03,-2.3625554386099309e-02, 3.2086896512912647e-02, 2.8232584003107127e-02, 7.9312532062586016e-04
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00, 0.0000000000000000e+00, 3.9250000000000002e-01,-5.1772181886871604e-03, 2.1724417187403023e-02,-2.9368502860520566e-02, 3.5802903864572813e-02, 2.4243300307879224e-02,-1.0702990712085284e-02
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00,-5.6543364898643004e-03, 8.9445894193238215e-03,-2.8339394237479189e-02, 3.3915269971176103e-02, 2.4295272756329010e-02,-4.9631163354142849e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00, 1.2000000000000000e+00,-3.9250000000000002e-01,-2.4363678232943694e-03,-4.5944002688308762e-03,-1.3698510537632408e-01, 3.1738736273812997e-02,-1.2394049915611004e-01, 1.3395903564769995e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00, 1.2000000000000000e+00, 0.0000000000000000e+00,-2.0412742850699646e-03, 7.4056776476339910e-03,-1.4187202613498762e-01, 3.3744849426166450e-02,-1.2809080515954119e-01,-4.1415889067214192e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00,-1.2000000000000000e+00, 3.9250000000000002e-01, 4.1748595268012879e-03, 2.4208395770165175e-02, 8.5506059210215188e-02, 3.5799049474980797e-02, 1.7803559259219606e-01,-1.1881871757715299e-02
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-1.2000000000000000e+00,-1.2000000000000000e+00, 0.0000000000000000e+00, 3.5620662821946275e-03, 1.0585970499872675e-02, 8.6278091187397821e-02, 3.4105038078766033e-02, 1.7778609019723671e-01,-5.8351990441494620e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00,-1.2000000000000000e+00, 0.0000000000000000e+00, 6.7638605850139433e-04, 8.0844699552098196e-03, 8.6300646585984145e-02, 2.1388939309503470e-03, 1.7714332685060535e-01,-3.4399762660087606e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00,-1.2000000000000000e+00,-3.9250000000000002e-01, 6.9274279260942329e-04,-5.5657162827584894e-03, 8.6562531845110854e-02, 5.3195836099314501e-04, 1.7721083830921586e-01, 2.6087498563946588e-03
-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01,-5.2359877559829882e-01, 0.0000000000000000e+00,-1.2000000000000000e+00, 3.9250000000000002e-01, 9.2516569741579464e-04, 2.1767350331177666e-02, 8.5653682320722999e-02, 3.7401362929758812e-03, 1.7652080937087086e-01,-9.5018572222769111e-03
