# alpha                     CL                        CD                        Cm                       
        -8.7266462600E-02         -5.6640000000E-01          6.1300000000E-03         -8.0000000000E-04
        -7.8539816340E-02         -5.1010000000E-01          5.5900000000E-03         -3.0000000000E-04
        -6.9813170080E-02         -4.5240000000E-01          5.2900000000E-03         -3.0000000000E-04
        -6.1086523820E-02         -3.8820000000E-01          4.9600000000E-03         -1.8000000000E-03
        -5.2359877560E-02         -3.3570000000E-01          4.8200000000E-03         -5.0000000000E-04
        -4.3633231300E-02         -2.8080000000E-01          4.7800000000E-03          1.0000000000E-04
        -3.4906585040E-02         -2.2470000000E-01          4.7600000000E-03          3.0000000000E-04
        -2.6179938780E-02         -1.6850000000E-01          4.6800000000E-03          3.0000000000E-04
        -1.7453292520E-02         -1.1230000000E-01          4.5600000000E-03          3.0000000000E-04
        -8.7266462600E-03         -5.6100000000E-02          4.4500000000E-03          2.0000000000E-04
         0.0000000000E+00         -0.0000000000E+00          4.4000000000E-03          0.0000000000E+00
         8.7266462600E-03          5.6100000000E-02          4.4500000000E-03         -2.0000000000E-04
         1.7453292520E-02          1.1230000000E-01          4.5600000000E-03         -3.0000000000E-04
         2.6179938780E-02          1.6850000000E-01          4.6800000000E-03         -3.0000000000E-04
         3.4906585040E-02          2.2470000000E-01          4.7600000000E-03         -3.0000000000E-04
         4.3633231300E-02          2.8080000000E-01          4.7800000000E-03         -1.0000000000E-04
         5.2359877560E-02          3.3570000000E-01          4.8200000000E-03          5.0000000000E-04
         6.1086523820E-02          3.8820000000E-01          4.9600000000E-03          1.8000000000E-03
         6.9813170080E-02          4.5240000000E-01          5.2900000000E-03          3.0000000000E-04
         7.8539816340E-02          5.1010000000E-01          5.5900000000E-03          3.0000000000E-04
         8.7266462600E-02          5.6640000000E-01          6.1300000000E-03          8.0000000000E-04
