# alpha                     CL                        CD                        Cm                       
        -4.3633231300E-02         -8.8700000000E-02          4.3400000000E-03         -4.5600000000E-02
        -3.4906585040E-02         -3.5500000000E-02          4.1900000000E-03         -4.4700000000E-02
        -2.6179938780E-02          1.7600000000E-02          4.2900000000E-03         -4.4000000000E-02
        -1.7453292520E-02          7.1600000000E-02          4.3000000000E-03         -4.3500000000E-02
        -8.7266462600E-03          1.2470000000E-01          4.4100000000E-03         -4.2800000000E-02
         0.0000000000E+00          1.7310000000E-01          4.8800000000E-03         -4.1500000000E-02
         8.7266462600E-03          2.2720000000E-01          5.0900000000E-03         -4.1100000000E-02
         1.7453292520E-02          2.7915000000E-01          5.0650000000E-03         -4.0350000000E-02
         2.6179938780E-02          3.3110000000E-01          5.0400000000E-03         -3.9600000000E-02
         3.4906585040E-02          3.8240000000E-01          4.8300000000E-03         -3.8700000000E-02
         4.3633231300E-02          4.3580000000E-01          4.8600000000E-03         -3.8000000000E-02
         5.2359877560E-02          4.8900000000E-01          4.9200000000E-03         -3.7300000000E-02
         6.1086523820E-02          5.5930000000E-01          4.7700000000E-03         -4.0600000000E-02
         6.9813170080E-02          6.2260000000E-01          5.4600000000E-03         -4.2000000000E-02
         7.8539816340E-02          6.7810000000E-01          5.6500000000E-03         -4.1700000000E-02
         8.7266462600E-02          7.3280000000E-01          6.0200000000E-03         -4.1100000000E-02
