# alpha                     CL                        CD                        Cm                       
        -8.7266462600E-02         -5.6220000000E-01          7.1900000000E-03         -1.6000000000E-03
        -6.9813170080E-02         -4.5050000000E-01          5.3300000000E-03         -6.0000000000E-04
        -5.2359877560E-02         -3.3340000000E-01          4.6300000000E-03         -9.0000000000E-04
        -3.4906585040E-02         -2.2440000000E-01          4.6300000000E-03          4.0000000000E-04
        -1.7453292520E-02         -1.1200000000E-01          4.5600000000E-03          4.0000000000E-04
         0.0000000000E+00          0.0000000000E+00          4.4000000000E-03         -0.0000000000E+00
         1.7453292520E-02          1.1200000000E-01          4.5600000000E-03         -4.0000000000E-04
         3.4906585040E-02          2.2440000000E-01          4.6300000000E-03         -4.0000000000E-04
         5.2359877560E-02          3.3340000000E-01          4.6300000000E-03          9.0000000000E-04
         6.9813170080E-02          4.5050000000E-01          5.3300000000E-03          6.0000000000E-04
         8.7266462600E-02          5.6220000000E-01          7.1900000000E-03          1.6000000000E-03
